,Name,Platform,Publisher,Developer,Global_Sales,Genre,Platform_Brand,Platform_Type,esrb_rating,userscore,critic_reviews,user_reviews,num_players,Story Focus,Gameplay Focus,Series,score,opencritic_classification,metascore_range
64,Men of War: Vietnam,PC,1C Company  ,1C Company  ,0.13,Strategy,PC,PC,T,5.3,19.0,42.0,1 Player,0.0,1.0,0.0,,,Fair
72,Off-Road Drive,PC,1C Company  ,Avalon Style  ,0.04,Racing,PC,PC,,5.9,10.0,19.0,1 Player,0.0,1.0,0.0,,,Fair
76,Men of War: Assault Squad,PC,1C Company  ,Digitalmindsoft  ,0.06,Strategy,PC,PC,T,8.0,21.0,114.0,1 Player,0.0,1.0,0.0,,,Strong
86,King's Bounty: Armored Princess,PC,1C Company  ,Katauri Interactive  ,0.01,Strategy,PC,PC,T,8.6,25.0,244.0,1 Player,0.0,1.0,0.0,,,Mighty
124,BioShock,X360,2K Games  ,2K Australia / 2K Boston  ,2.83,Shooter,Microsoft,HomeConsole,M,9.0,88.0,2901.0,1 Player,1.0,1.0,1.0,,,Excellent
125,BioShock,PC,2K Games  ,2K Australia / 2K Boston  ,1.3,Shooter,PC,PC,M,8.6,44.0,5558.0,1 Player,1.0,1.0,1.0,,,Excellent
127,BioShock,PS3,2K Games  ,2K Boston / 2K Australia / 2K Marin  ,1.44,Shooter,Sony,HomeConsole,M,8.9,51.0,1350.0,1 Player,1.0,1.0,1.0,,,Excellent
131,BioShock 2,X360,2K Games  ,2K Marin  ,2.2,Shooter,Microsoft,HomeConsole,M,8.2,93.0,710.0,"1 Player, 10 Players Online Up to 10 Players",1.0,1.0,1.0,,,Mighty
132,BioShock 2,PC,2K Games  ,2K Marin  ,1.56,Shooter,PC,PC,M,8.1,36.0,1910.0,"1 Player, 10 Players Online Online Multiplayer",1.0,1.0,1.0,,,Mighty
133,BioShock 2,PS3,2K Games  ,2K Marin  ,1.55,Shooter,Sony,HomeConsole,M,8.2,62.0,679.0,"1 Player, 10 Players Online Up to 10 Players",1.0,1.0,1.0,,,Mighty
137,The Bureau: XCOM Declassified,PS3,2K Games  ,2K Marin  ,0.27,Shooter,Sony,HomeConsole,M,6.8,22.0,86.0,1 Player,0.0,1.0,0.0,,,Fair
138,The Bureau: XCOM Declassified,X360,2K Games  ,2K Marin  ,0.22,Shooter,Microsoft,HomeConsole,M,6.9,30.0,124.0,1 Player,0.0,1.0,0.0,,,Fair
139,The Bureau: XCOM Declassified,PC,2K Games  ,2K Marin  ,0.05,Shooter,PC,PC,M,6.5,45.0,681.0,1 Player,0.0,1.0,0.0,,,Fair
140,Fantastic Four: Rise of the Silver Surfer,PS2,2K Games  ,7 Studios  ,0.39,Action,Sony,HomeConsole,T,6.3,7.0,19.0,1-4 Players,0.0,1.0,0.0,,,Weak
141,Fantastic Four: Rise of the Silver Surfer,Wii,2K Games  ,7 Studios  ,0.05,Action,Nintendo,HomeConsole,T,5.9,16.0,15.0,1-4 Players,0.0,1.0,0.0,,,Weak
142,Fantastic Four: Rise of the Silver Surfer,DS,2K Games  ,7 Studios  ,0.04,Action,Nintendo,Handheld,E10+,4.8,8.0,13.0,1 Player,0.0,1.0,0.0,,,Weak
157,Ghost Rider,PSP,2K Games  ,Climax Group  ,0.24,Action,Sony,Handheld,T,5.8,17.0,17.0,1-4 Players,0.0,1.0,0.0,,,Weak
158,Ghost Rider,PS2,2K Games  ,Climax Group  ,0.0,Action,Sony,HomeConsole,T,6.9,37.0,34.0,1 Player,0.0,1.0,0.0,,,Weak
159,Serious Sam II,XB,2K Games  ,Croteam  ,0.06,Shooter,Microsoft,HomeConsole,M,6.5,34.0,15.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Strong
160,Serious Sam II,PC,2K Games  ,Croteam  ,0.01,Shooter,PC,PC,M,7.2,31.0,277.0,"1-16 Players, 16 Players Online",0.0,1.0,0.0,,,Strong
162,Motocross Mania 3,XB,2K Games  ,Deibus Studios  ,0.02,Racing,Microsoft,HomeConsole,T,3.3,9.0,6.0,1-2 Players,0.0,1.0,0.0,,,Weak
163,Close Combat: First to Fight,XB,2K Games  ,Destineer  ,0.18,Shooter,Microsoft,HomeConsole,T,6.5,46.0,12.0,1 Player,0.0,1.0,0.0,,,Fair
164,Close Combat: First to Fight,PC,2K Games  ,Destineer  ,0.0,Shooter,PC,PC,T,4.5,21.0,13.0,"1-8 Players, 8 Players Online",0.0,1.0,0.0,,,Fair
165,The Darkness II,X360,2K Games  ,Digital Extremes  ,0.4,Shooter,Microsoft,HomeConsole,M,7.6,71.0,264.0,"1-4 Players, Up to 4 Players",1.0,1.0,1.0,,,Mighty
166,The Darkness II,PS3,2K Games  ,Digital Extremes  ,0.32,Shooter,Sony,HomeConsole,M,7.9,28.0,149.0,"1-4 Players, Up to 4 Players",1.0,1.0,1.0,,,Strong
167,The Darkness II,PC,2K Games  ,Digital Extremes  ,0.14,Shooter,PC,PC,M,7.6,20.0,578.0,1 Player,1.0,1.0,1.0,,,Strong
168,The Da Vinci Code,PS2,2K Games  ,Double Helix Games  ,0.14,Action,Sony,HomeConsole,T,8.0,43.0,28.0,1 Player,0.0,1.0,0.0,,,Weak
169,The Da Vinci Code,XB,2K Games  ,Double Helix Games  ,0.04,Action,Microsoft,HomeConsole,T,2.8,34.0,5.0,1 Player,0.0,1.0,0.0,,,Weak
170,The Da Vinci Code,PC,2K Games  ,Double Helix Games  ,0.0,Action,PC,PC,T,5.6,24.0,9.0,1 Player,0.0,1.0,0.0,,,Weak
171,Ford Racing 3,PS2,2K Games  ,Empire Interactive  ,0.26,Racing,Sony,HomeConsole,E,7.6,7.0,18.0,1-2 Players,0.0,1.0,0.0,,,Weak
174,Ford Mustang: The Legend Lives,XB,2K Games  ,Eutechnyx  ,0.09,Racing,Microsoft,HomeConsole,E,7.4,13.0,5.0,1-2 Players,0.0,1.0,0.0,,,Weak
175,Sid Meier's Civilization Revolution,DS,2K Games  ,Firaxis  ,0.45,Strategy,Nintendo,Handheld,E10+,7.8,26.0,27.0,1 Player,0.0,1.0,0.0,,,Mighty
182,Sid Meier's Civilization IV,PC,2K Games  ,Firaxis Games  ,3.2,Strategy,PC,PC,E10+,8.2,50.0,1135.0,"1-12 Players, 12 Players Online Online Multiplayer",0.0,1.0,0.0,,,Excellent
184,Sid Meier's Civilization Revolution,X360,2K Games  ,Firaxis Games  ,0.83,Strategy,Microsoft,HomeConsole,E10+,8.0,55.0,191.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,0.0,,,Mighty
186,Sid Meier's Civilization V,PC,2K Games  ,Firaxis Games  ,12.0,Strategy,PC,PC,E10+,8.0,70.0,2870.0,Up to 4 Players,0.0,1.0,0.0,,,Excellent
194,Sid Meier's Civilization VI,PC,2K Games  ,Firaxis Games  ,0.44,Strategy,PC,PC,E10+,7.0,84.0,1469.0,Online Multiplayer,0.0,1.0,0.0,89.0,Mighty,Mighty
195,Sid Meier's Civilization VI,NS,2K Games  ,Firaxis Games  ,0.25,Strategy,Nintendo,HomeConsole,E10+,7.6,31.0,213.0,1 Player,0.0,1.0,0.0,89.0,Mighty,Mighty
197,Sid Meier's Civilization: Beyond Earth,PC,2K Games  ,Firaxis Games  ,0.4,Simulation,PC,PC,E10+,5.5,78.0,1077.0,1 Player,0.0,1.0,0.0,81.0,Strong,Mighty
203,XCOM 2,PC,2K Games  ,Firaxis Games  ,0.31,Strategy,PC,PC,T,7.3,104.0,1631.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
204,XCOM 2,PS4,2K Games  ,Firaxis Games  ,0.31,Strategy,Sony,HomeConsole,E,7.3,29.0,475.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
205,XCOM 2,XOne,2K Games  ,Firaxis Games  ,0.19,Strategy,Microsoft,HomeConsole,T,7.6,17.0,109.0,2 Players,1.0,1.0,1.0,87.0,Mighty,Mighty
208,XCOM: Enemy Unknown,PC,2K Games  ,Firaxis Games  ,0.72,Strategy,PC,PC,M,8.2,57.0,2550.0,2 Players No Online Multiplayer,0.0,1.0,1.0,,,Mighty
209,XCOM: Enemy Unknown,X360,2K Games  ,Firaxis Games  ,0.63,Sports,Microsoft,HomeConsole,M,8.3,35.0,404.0,2 Players,0.0,1.0,1.0,,,Excellent
210,XCOM: Enemy Unknown,PS3,2K Games  ,Firaxis Games  ,0.59,Strategy,Sony,HomeConsole,M,8.2,20.0,329.0,2 Players,0.0,1.0,1.0,,,Mighty
213,Stronghold Legends,PC,2K Games  ,FireFly Studios  ,0.02,Strategy,PC,PC,T,7.6,19.0,70.0,"1-4 Players, 4 Players Online",0.0,1.0,0.0,,,Weak
219,Battleborn,PS4,2K Games  ,Gearbox Software  ,0.48,Shooter,Sony,HomeConsole,T,6.8,55.0,423.0,Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Fair
220,Battleborn,XOne,2K Games  ,Gearbox Software  ,0.28,Shooter,Microsoft,HomeConsole,T,7.1,20.0,179.0,Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Strong
221,Battleborn,PC,2K Games  ,Gearbox Software  ,0.2,Shooter,PC,PC,T,7.0,34.0,406.0,Online Multiplayer Up to 10 Players,0.0,1.0,0.0,70.0,Fair,Fair
222,Borderlands,X360,2K Games  ,Gearbox Software  ,3.48,Shooter,Microsoft,HomeConsole,M,8.1,83.0,826.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,1.0,,,Mighty
223,Borderlands,X360,2K Games  ,Gearbox Software  ,3.48,Shooter,Microsoft,HomeConsole,M,7.6,37.0,1774.0,"1-4 Players, 4 Players Online Up to 4 Players",0.0,1.0,1.0,,,Mighty
225,Borderlands,PC,2K Games  ,Gearbox Software  ,0.17,Shooter,PC,PC,K-A,5.8,19.0,70.0,Up to 12 Players,0.0,1.0,1.0,,,Mighty
226,Borderlands 2,X360,2K Games  ,Gearbox Software  ,11.0,Shooter,Microsoft,HomeConsole,M,8.3,59.0,1010.0,Up to 4 Players,0.0,1.0,1.0,86.0,Mighty,Mighty
